MAP;ARG1;ARG2;ARG3;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
2;4;2;100;10;20;13;12;573;3.295e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0310651;0.0325
2;4;2;1000;10;20;13;12;6373;3.202e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0310651;0.0325
2;4;2;10000;10;20;13;12;55373;4.726e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0310651;0.0325
2;4;2;10000;10;20;13;12;55373;4.756e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0310651;0.0325
2;4;4;100;18;44;22;21;450;9.611e-05;297;13.5;0.722999;0.477273;0.0530303;0.75;0.0162941;0.0138889
2;4;4;1000;18;44;21;20;3099;9.115e-05;277;13.1905;1.21964;0.454545;0.0505051;0.732804;0.0175737;0.0132576
2;4;4;10000;18;44;22;21;36290;9.638e-05;294;13.3636;0.771389;0.477273;0.0530303;0.742424;0.0167168;0.0138889
2;4;4;10000;18;44;22;21;36290;9.6369e-05;294;13.3636;0.771389;0.477273;0.0530303;0.742424;0.0167168;0.0138889
2;4;8;100;34;92;43;42;367;0.000368209;1252;29.1163;0.812956;0.467391;0.0274936;0.856361;0.00805959;0.0068734
2;4;8;1000;34;92;48;47;3099;0.000413329;1414;29.4583;2.99971;0.51087;0.0300512;0.866422;0.00718976;0.00767263
2;4;8;10000;34;92;50;49;35513;0.00044404;1441;28.82;2.32972;0.532609;0.0313299;0.847647;0.00686087;0.00799233
2;4;8;10000;34;92;50;49;35513;0.000434839;1441;28.82;2.32972;0.532609;0.0313299;0.847647;0.00686087;0.00799233
2;4;16;100;66;188;64;63;303;0.00112817;3918;61.2188;3.4617;0.382979;0.0116054;0.927557;0.00531525;0.00257898
2;4;16;1000;66;188;82;81;3051;0.00146088;5074;61.878;1.09756;0.43617;0.0132173;0.937546;0.00420532;0.00330432
2;4;16;10000;66;188;93;92;35513;0.00160135;5650;60.7527;4.95931;0.489362;0.0148291;0.920495;0.00362912;0.00374758
2;4;16;10000;66;188;93;92;35513;0.00160349;5650;60.7527;4.95931;0.489362;0.0148291;0.920495;0.00362912;0.00374758
2;4;32;100;130;380;109;108;282;0.00382133;13627;125.018;1.4525;0.363158;0.00558704;0.96168;0.0030852;0.00110324
2;4;32;1000;130;380;154;153;3051;0.00542464;19303;125.344;5.94169;0.407895;0.0062753;0.964186;0.00217874;0.0015587
