MAP;ARG1;ARG2;ARG3;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
3;8;16;1000;130;376;120;119;5113;0.00537045;13864;115.533;4.48504;0.316489;0.00486907;0.888718;0.00274675;0.0012275
3;8;16;10000;130;376;117;116;48281;0.00521154;13487;115.274;2.74757;0.308511;0.00474632;0.886719;0.00280801;0.00119681
3;8;16;10000;130;376;117;116;48281;0.00397589;13487;115.274;2.74757;0.308511;0.00474632;0.886719;0.00280801;0.00119681
3;8;32;100;258;760;200;199;529;0.0147137;47891;239.455;4.45623;0.332895;0.00258058;0.92812;0.00161882;0.000509996
3;8;32;1000;258;760;231;230;5113;0.0158376;55269;239.26;11.2266;0.306579;0.00237658;0.927363;0.00139872;0.000589045
3;8;32;10000;258;760;245;244;48281;0.0168661;58642;239.355;9.0527;0.321053;0.00248878;0.927733;0.00132114;0.000624745
3;8;32;10000;258;760;245;244;48281;0.0169938;58642;239.355;9.0527;0.321053;0.00248878;0.927733;0.00132114;0.000624745
3;8;64;100;514;1528;328;327;529;0.0459002;160055;487.973;17.233;0.336387;0.0013089;0.949363;0.000985623;0.000208813
3;8;64;1000;514;1528;458;457;5113;0.0633264;223985;489.05;19.6499;0.315445;0.00122741;0.95146;0.000706803;0.000291574
3;8;64;10000;514;1528;486;485;48281;0.0677494;237666;489.025;17.7625;0.318063;0.0012376;0.95141;0.000666711;0.0003094
3;8;64;10000;514;1528;486;485;48281;0.0680403;237666;489.025;17.7625;0.318063;0.0012376;0.95141;0.000666711;0.0003094
3;8;128;100;1026;3064;457;456;529;0.130658;449679;983.98;37.7928;0.336488;0.000655923;0.959045;0.000707865;7.26859e-05
3;8;128;1000;1026;3064;881;880;4857;0.253688;867848;985.072;6.37483;0.314948;0.000613933;0.960109;0.000367388;0.000140123
3;8;128;10000;1026;3064;925;924;48281;0.278755;911076;984.947;29.1799;0.30483;0.000594211;0.959987;0.000350022;0.000147121
3;8;128;10000;1026;3064;925;924;48281;0.266068;911076;984.947;29.1799;0.30483;0.000594211;0.959987;0.000350022;0.000147121
3;16;2;100;34;80;49;48;2694;0.000525259;881;17.9796;0.141392;0.6;0.0352941;0.528812;0.00720533;0.00900735
3;16;2;1000;34;80;49;48;19976;0.00042113;889;18.1429;0.349927;0.6;0.0352941;0.533613;0.00724698;0.00900735
3;16;2;10000;34;80;49;48;256043;0.00039965;900;18.3673;0.482082;0.6;0.0352941;0.540216;0.00730425;0.00900735
