MAP;ARG1;ARG2;ARG3;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
1;2;2;100;6;8;5;4;395;1.182e-05;19;3.8;0.4;0.5;0.166667;0.633333;0.105;0.0520833
1;2;2;1000;6;8;5;4;4095;1.081e-05;19;3.8;0.4;0.5;0.166667;0.633333;0.105;0.0520833
1;2;2;10000;6;8;5;4;36095;2.267e-05;19;3.8;0.4;0.5;0.166667;0.633333;0.105;0.0520833
1;2;2;10000;6;8;5;4;36095;1.098e-05;19;3.8;0.4;0.5;0.166667;0.633333;0.105;0.0520833
1;2;4;100;10;16;9;8;238;2.448e-05;70;7.77778;0.628539;0.5;0.1;0.777778;0.058642;0.028125
1;2;4;1000;10;16;9;8;2343;4.1859e-05;68;7.55556;0.955814;0.5;0.1;0.755556;0.0578704;0.028125
1;2;4;10000;10;16;7;6;9838;2.909e-05;53;7.57143;0.728431;0.375;0.075;0.757143;0.0739796;0.021875
1;2;4;10000;10;16;7;6;9838;2.979e-05;53;7.57143;0.728431;0.375;0.075;0.757143;0.0739796;0.021875
1;2;8;100;18;32;18;17;238;0.00010834;272;15.1111;2.25804;0.53125;0.0590278;0.839506;0.0279707;0.015625
1;2;8;1000;18;32;11;10;1088;6.98e-05;170;15.4545;1.15708;0.3125;0.0347222;0.858586;0.0464876;0.00954861
1;2;8;10000;18;32;11;10;9838;6.849e-05;166;15.0909;2.8748;0.3125;0.0347222;0.838384;0.0451963;0.00954861
1;2;8;10000;18;32;11;10;9838;6.863e-05;166;15.0909;2.8748;0.3125;0.0347222;0.838384;0.0451963;0.00954861
1;2;16;100;34;64;29;28;188;0.000318769;913;31.4828;1.65302;0.453125;0.0266544;0.925963;0.0175386;0.0066636
1;2;16;1000;34;64;20;19;1088;0.00022002;620;31;4.3589;0.296875;0.0174632;0.911765;0.0249219;0.00459559
1;2;16;10000;34;64;20;19;9838;0.000218339;614;30.7;5.66657;0.296875;0.0174632;0.902941;0.0246875;0.00459559
1;2;16;10000;34;64;20;19;9838;0.000218439;614;30.7;5.66657;0.296875;0.0174632;0.902941;0.0246875;0.00459559
1;2;32;100;66;128;44;43;177;0.000619228;2802;63.6818;2.08646;0.390625;0.0118371;0.964876;0.0114766;0.00260417
1;2;32;1000;66;128;36;35;1088;0.000995986;2252;62.5556;8.54545;0.28125;0.00852273;0.947811;0.0137804;0.00213068
1;2;32;10000;66;128;38;37;9838;0.000532169;2374;62.4737;9.28422;0.289062;0.00875947;0.946571;0.0130389;0.00224905
1;2;32;10000;66;128;38;37;9838;0.000943297;2374;62.4737;9.28422;0.289062;0.00875947;0.946571;0.0130389;0.00224905
1;2;64;100;130;256;41;40;95;0.00112557;5205;126.951;6.63307;0.222656;0.00342548;0.976548;0.0121858;0.000615986
1;2;64;1000;130;256;70;69;1088;0.00191228;8842;126.314;13.7628;0.273438;0.00420673;0.971648;0.00710459;0.00105168
1;2;64;10000;130;256;65;64;9838;0.00177565;8198;126.123;15.0154;0.25;0.00384615;0.970178;0.00763776;0.000976562
1;2;64;10000;130;256;65;64;9838;0.00177524;8198;126.123;15.0154;0.25;0.00384615;0.970178;0.00763776;0.000976562
1;2;128;100;258;512;64;63;95;0.00344539;16213;253.328;21.2074;0.230469;0.00178658;0.981892;0.00776052;0.000242248
1;2;128;1000;258;512;136;135;1088;0.00738529;34572;254.206;20.8458;0.275391;0.00213481;0.985294;0.00366485;0.000514777
1;2;128;10000;258;512;133;132;9838;0.00717412;33798;254.12;21.5961;0.257812;0.00199855;0.984962;0.00374626;0.000503422
1;2;128;10000;258;512;133;132;9838;0.00718464;33798;254.12;21.5961;0.257812;0.00199855;0.984962;0.00374626;0.000503422
1;4;2;100;10;20;13;12;738;3.138e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0307692;0.0325
1;4;2;1000;10;20;13;12;6438;3.163e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0307692;0.0325
1;4;2;10000;10;20;13;12;52438;3.143e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0307692;0.0325
1;4;2;10000;10;20;13;12;52438;3.173e-05;77;5.92308;0.266469;0.6;0.12;0.592308;0.0307692;0.0325
1;4;4;100;18;44;25;24;438;0.00010927;342;13.68;1.00876;0.545455;0.0606061;0.76;0.0147636;0.0157828
1;4;4;1000;18;44;25;24;3575;0.000108449;340;13.6;0.69282;0.545455;0.0606061;0.755556;0.0145455;0.0157828
1;4;4;10000;18;44;24;23;40164;0.00010328;318;13.25;1.39194;0.522727;0.0580808;0.736111;0.0153488;0.0151515
1;4;4;10000;18;44;24;23;40164;0.00010344;318;13.25;1.39194;0.522727;0.0580808;0.736111;0.0153488;0.0151515
1;4;8;100;34;92;46;45;438;0.000387669;1336;29.0435;3.13436;0.5;0.0294118;0.85422;0.00752034;0.00735294
1;4;8;1000;34;92;45;44;3344;0.000454809;1324;29.4222;2.36163;0.478261;0.028133;0.865359;0.00785293;0.00719309
1;4;8;10000;34;92;49;48;38047;0.000428149;1442;29.4286;0.808122;0.521739;0.0306905;0.865546;0.00718903;0.00783248
1;4;8;10000;34;92;49;48;38047;0.000430298;1442;29.4286;0.808122;0.521739;0.0306905;0.865546;0.00718903;0.00783248
1;4;16;100;66;188;91;90;438;0.00158267;5586;61.3846;5.52471;0.537234;0.0162798;0.93007;0.00375893;0.00366699
1;4;16;1000;66;188;80;79;3344;0.00137408;4911;61.3875;5.33267;0.420213;0.0127337;0.930114;0.00427859;0.00322373
