MAP;ARG1;ARG2;Max Capacity;Vertices(n);Edges(m);BFS Calls(I);Augment Calls;Max Flow;Elapsed Time(s);#BFS Operations;AVG BFS Operations;Std Dev BFS Operations;C;r;s;t;uI
1;4;32;100;130;380;113;112;268;0.0047849;14520;128.496;5.33833;0.373684;0.00574899;0.965623;0.00299244;0.788732
1;4;32;1000;130;380;156;155;3344;0.0054754;20008;128.256;9.25762;0.410526;0.00631579;0.960552;0.00216357;0.99359
1;4;32;10000;130;380;156;155;34042;0.00545782;20030;128.397;7.50186;0.410526;0.00631579;0.964793;0.00216595;0.99359
1;4;32;100000;130;380;179;178;351786;0.00630913;22913;128.006;5.84769;0.468421;0.00720648;0.961238;0.00188188;1
1;4;64;100;258;764;170;169;268;0.0119797;43505;255.912;14.1471;0.361257;0.00280044;0.980369;0.00197037;0.612319
1;4;64;1000;258;764;297;296;3163;0.0210635;76284;256.848;2.60677;0.399215;0.00309469;0.983739;0.00113195;0.970492
1;4;64;10000;258;764;258;257;26552;0.0182999;66282;256.907;1.49128;0.340314;0.00263809;0.984045;0.00130336;0.988462
1;4;64;100000;258;764;290;289;270445;0.0204564;74508;256.924;1.28966;0.378272;0.00293234;0.984256;0.00115961;1
1;4;128;100;514;1532;239;238;268;0.0335443;122166;511.155;28.4662;0.340731;0.0013258;0.988661;0.00139603;0.455939
1;4;128;1000;514;1532;340;339;1977;0.0474928;174190;512.324;12.4551;0.239556;0.000932125;0.990925;0.000983573;0.923706
1;4;128;10000;514;1532;504;503;26552;0.0721447;258272;512.444;12.4598;0.334204;0.0013004;0.991152;0.000663678;0.982422
1;4;128;100000;514;1532;552;551;270445;0.0779494;282862;512.431;11.8215;0.359661;0.00139946;0.991252;0.000605951;1
1;8;2;100;18;40;25;24;1337;8.284e-05;358;14.32;2.46122;0.6;0.0666667;0.553333;0.01432;1
1;8;2;1000;18;40;25;24;12337;0.000165651;358;14.32;2.46122;0.6;0.0666667;0.553333;0.01432;1
1;8;2;10000;18;40;25;24;111337;8.3541e-05;358;14.32;2.46122;0.6;0.0666667;0.553333;0.01432;1
1;8;2;100000;18;40;25;24;1301337;0.00012449;358;14.32;2.46122;0.6;0.0666667;0.553333;0.01432;1
1;8;4;100;34;88;51;50;977;0.000377151;1553;30.451;3.35082;0.579545;0.0340909;0.726067;0.00678498;0.980392
1;8;4;1000;34;88;44;43;8158;0.000312161;1293;29.3864;4.47831;0.488636;0.0287433;0.677139;0.00758945;1
1;8;4;10000;34;88;47;46;80967;0.000348351;1443;30.7021;3.70115;0.522727;0.0307487;0.725282;0.00742314;1
1;8;4;100000;34;88;51;50;954515;0.000623191;1565;30.6863;3.44418;0.568182;0.0334225;0.736448;0.00683741;1
1;8;8;100;66;184;105;104;911;0.00170377;6594;62.8;2.83314;0.581522;0.0176219;0.865368;0.00325052;0.971963
1;8;8;1000;66;184;96;95;8158;0.0016525;6070;63.2292;5.39961;0.516304;0.0156456;0.858744;0.00357955;1
1;8;8;10000;66;184;95;94;80505;0.00153107;6031;63.4842;5.31901;0.51087;0.0154809;0.854545;0.00363182;1
1;8;8;100000;66;184;98;97;835514;0.00162057;6211;63.3776;3.92926;0.527174;0.015975;0.861163;0.00351473;1
1;8;16;100;130;376;151;150;670;0.00516173;19381;128.351;3.60867;0.43617;0.00671031;0.93408;0.00226066;0.914634
1;8;16;1000;130;376;177;176;8158;0.00684016;22579;127.565;8.70661;0.468085;0.00720131;0.9289;0.00191677;1
1;8;16;10000;130;376;178;177;80505;0.00611809;22759;127.86;8.26985;0.470745;0.00724223;0.929775;0.0019104;1
1;8;16;100000;130;376;135;134;560884;0.00584396;17236;127.674;4.1452;0.356383;0.00548282;0.932137;0.00251525;1
1;8;32;100;258;760;258;257;670;0.0192955;66116;256.264;10.5618;0.426316;0.00330477;0.966559;0.00130693;0.79321
1;8;32;1000;258;760;362;361;7663;0.0263988;91951;254.008;6.74659;0.488158;0.00378417;0.96003;0.000923264;0.973046
1;8;32;10000;258;760;339;338;71319;0.0254187;86186;254.236;3.89884;0.444737;0.00344757;0.959582;0.000986788;1
1;8;32;100000;258;760;295;294;560884;0.0210674;75452;255.769;8.86248;0.386842;0.00299878;0.965721;0.00114081;1
1;8;64;100;514;1528;413;412;670;0.0592362;211292;511.603;20.9437;0.414267;0.00161193;0.981091;0.000810699;0.650869
1;8;64;1000;514;1528;596;595;6325;0.0889467;305318;512.279;9.28951;0.407068;0.00158392;0.983672;0.000562518;0.956592
1;8;64;10000;514;1528;684;683;68744;0.109436;350323;512.168;2.94533;0.44699;0.00173926;0.981944;0.000490042;1
1;8;64;100000;514;1528;562;561;560884;0.0796439;287899;512.276;17.153;0.367147;0.00142859;0.983055;0.000596546;1
1;8;128;100;1026;3064;519;518;612;0.152387;531733;1024.53;10.6124;0.382507;0.000745627;0.991763;0.000644273;0.44198
1;8;128;1000;1026;3064;1119;1118;6325;0.322931;1145877;1024.02;22.0815;0.402089;0.000783799;0.991448;0.000298668;0.907468
1;8;128;10000;1026;3064;1298;1297;65630;0.417243;1329778;1024.48;14.687;0.426567;0.000831514;0.991661;0.000257597;0.992349
1;8;128;100000;1026;3064;1074;1073;560884;0.307552;1099931;1024.14;28.0292;0.350522;0.000683279;0.991376;0.00031122;0.999069
1;16;2;100;34;80;49;48;2494;0.000258741;1298;26.4898;4.71698;0.6;0.0352941;0.528812;0.0067576;1
1;16;2;1000;34;80;49;48;21594;0.00025776;1298;26.4898;4.71698;0.6;0.0352941;0.528812;0.0067576;1
1;16;2;10000;34;80;49;48;233594;0.000567831;1298;26.4898;4.71698;0.6;0.0352941;0.528812;0.0067576;1
1;16;2;100000;34;80;49;48;2633594;0.00040942;1298;26.4898;4.71698;0.6;0.0352941;0.528812;0.0067576;1
1;16;4;100;66;176;100;99;1985;0.00131546;5689;56.89;7.01412;0.568182;0.0172176;0.697273;0.00323239;0.99
1;16;4;1000;66;176;103;102;18430;0.00123966;5535;53.7379;8.56269;0.579545;0.017562;0.637099;0.00296436;1
1;16;4;10000;66;176;94;93;171350;0.0014522;5166;54.9574;9.52144;0.528409;0.0160124;0.652643;0.0033219;1
1;16;4;100000;66;176;92;91;1835811;0.0011909;5105;55.4891;8.53827;0.517045;0.015668;0.6889;0.00342695;1
1;16;8;100;130;368;181;180;1554;0.00571827;22046;121.801;8.51286;0.519022;0.00798495;0.836592;0.00182863;0.942408
1;16;8;1000;130;368;202;201;17557;0.00607389;24456;121.069;12.4461;0.546196;0.00840301;0.799924;0.00162868;1
1;16;8;10000;130;368;178;177;166055;0.00542904;21334;119.854;17.4179;0.480978;0.00739967;0.799611;0.00182972;1
1;16;8;100000;130;368;189;188;1607949;0.00573467;22911;121.222;8.60745;0.51087;0.00785953;0.824868;0.0017429;1
1;16;16;100;258;752;346;345;1554;0.0229875;86902;251.162;12.218;0.503989;0.00390689;0.919232;0.000965294;0.91029
1;16;16;1000;258;752;365;364;15213;0.0243634;91639;251.066;11.2323;0.486702;0.00377288;0.92076;0.000914696;0.994536
1;16;16;10000;258;752;379;378;156293;0.0259279;95449;251.844;10.4409;0.50266;0.00389659;0.918451;0.00088364;1
1;16;16;100000;258;752;334;333;1321371;0.0230969;84023;251.566;12.3797;0.442819;0.00343271;0.920032;0.00100158;1
1;16;32;100;514;1520;615;614;1554;0.0907029;312290;507.789;18.5441;0.503947;0.00196344;0.960824;0.000543206;0.800522
1;16;32;1000;514;1520;704;703;14493;0.102045;357677;508.064;12.105;0.475658;0.00185081;0.960158;0.000474791;0.972337
1;16;32;10000;514;1520;754;753;148302;0.110435;381778;506.337;13.5286;0.494737;0.00193017;0.958179;0.000441799;0.998674
1;16;32;100000;514;1520;648;647;1321371;0.0900816;329311;508.196;16.0456;0.426316;0.00165882;0.95851;0.000515956;0.998457
1;16;64;100;1026;3056;926;925;1476;0.260722;941963;1017.24;13.4635;0.471531;0.000919802;0.976563;0.000359467;0.64147
1;16;64;1000;1026;3056;1238;1237;13540;0.359179;1262051;1019.43;12.3612;0.42801;0.000834966;0.978718;0.000269453;0.944996
1;16;64;10000;1026;3056;1418;1417;142736;0.403124;1447042;1020.48;10.034;0.465314;0.000907683;0.980241;0.000235492;0.995784
1;16;64;100000;1026;3056;1300;1299;1321371;0.371943;1329395;1022.61;24.1485;0.42572;0.000829863;0.983131;0.000257403;0.998463
1;16;128;100;2050;6128;1238;1237;1452;0.73481;2534304;2047.1;26.8029;0.457735;0.00044673;0.991403;0.000269835;0.440841
1;16;128;1000;2050;6128;2393;2392;13540;1.43154;4886491;2041.99;24.4755;0.43342;0.000423168;0.989518;0.000139249;0.899925
1;16;128;10000;2050;6128;2738;2737;138915;1.60733;5597690;2044.44;14.1479;0.450718;0.000439884;0.989888;0.000121849;0.99059
1;16;128;100000;2050;6128;2611;2610;1310809;1.54032;5331983;2042.12;16.4337;0.426403;0.000416003;0.988877;0.000127631;0.998852
1;32;2;100;66;160;97;96;5035;0.00175876;4906;50.5773;9.32664;0.6;0.0181818;0.514995;0.00325885;1
1;32;2;1000;66;160;97;96;46335;0.000906841;4906;50.5773;9.32664;0.6;0.0181818;0.514995;0.00325885;1
1;32;2;10000;66;160;97;96;473335;0.000901052;4906;50.5773;9.32664;0.6;0.0181818;0.514995;0.00325885;1
1;32;2;100000;66;160;97;96;4953335;0.000904341;4906;50.5773;9.32664;0.6;0.0181818;0.514995;0.00325885;1
1;32;4;100;130;352;183;182;3502;0.00464064;20098;109.825;14.5918;0.539773;0.0083042;0.693022;0.00170494;0.957895
